firm year DPS_Dummy risk growth mb size cash lev cr re roa tax fix age liquid
27 2012 1 0.4766 0.0825 2.1718 13.588 0.1876 0.2128 3.4791 0.6491 0.4298 0.0064 0.0834 4.1109 0.2218
27 2013 1 0.1555 0.5119 2.5286 13.7525 0.1908 0.146 5.0913 0.7256 0.4549 0.0071 0.1333 4.1271 0.6197
27 2014 1 0.7666 0.1068 1.8335 13.854 0.057 0.1744 3.7511 0.7436 0.3049 0.0043 0.2181 4.1431 0.2685
27 2015 1 0.5119 -0.1626 1.8172 13.9047 0.0391 0.253 2.4696 0.3541 0.136 0.0076 0.2405 4.1589 0.2795
27 2016 1 0.815 0.8682 6.0231 14.2385 0.1773 0.1308 4.5943 0.6437 0.362 6e-04 0.2165 4.1744 0.4413
28 2009 0 2.2404 -0.0013 1.1056 13.065 0.0495 0.913 0.8942 0.887 -0.0812 0 0.1947 3.9318 0.0012
29 2009 0 -0.1981 -0.2412 1.323 13.0183 0.0161 1.0537 0.7153 4.2441 -0.0522 0 0.2361 2.5649 0.1033
29 2010 0 22.0025 0.2885 1.1741 12.9553 0.0025 1.0176 1.0061 11.5617 0.0631 0 0.224 2.6391 0.283
29 2011 0 1.0238 0.1222 1.2299 13.2151 8e-04 1.0303 0.8981 5.7317 0.0078 0 0.1454 2.7081 0.7951
29 2012 0 0.2479 0.5437 1.2025 13.0178 0.0047 1.0378 0.8911 5.6158 0.0066 0 0.1375 2.7726 0.8275
29 2013 0 0.4635 -0.0881 1.4508 13.479 0.0138 1.0212 0.9095 6.1764 0.0083 0 0.2032 2.8332 1.3395
29 2014 0 -2.4299 0.0535 1.2535 13.3002 0.0103 1.0775 0.9203 2.6964 -0.0375 0 0.1876 2.8904 0.76
29 2015 0 -0.8466 -0.3255 1.5056 13.2562 6e-04 1.252 0.6826 1.5452 -0.1563 0 0.1377 2.9444 0.9891
29 2016 0 -0.0744 -0.2219 0.463 13.1125 0.0052 1.4686 0.5798 -0.2415 -0.1623 0 0.1396 2.9957 -0.1852
30 2016 1 0.0306 0.1047 2.4256 15.44 0.0582 0.4761 1.5712 0.6496 0.1649 0.2247 0.1145 2.5649 0.027
